slug,name,sku,price,description,categories,image_url,audio_url,asset_code,album,track_number,raw_slug,metadata_path
will-you-listen,Will You Listen,HAWK-SG-01,0.69,Digital download of “Will You Listen” by Hawk Eye The Rapper.,01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-01/will_you_listen.mp3,HAWK-SG-01,01_Singles,1,will-you-listen,HAWK-ARS-01/_workspace/01_Singles/01_will-you-listen/data/metadata.json
psyops,Psyops,HAWK-SG-02,0.69,"Digital download of “Psyops"" by Hawk Eye The Rapper.",01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-02/psyops.mp3,HAWK-SG-02,01_Singles,2,psyops,HAWK-ARS-01/_workspace/01_Singles/02_psyops/data/metadata.json
incantations,Incantations,HAWK-SG-03,0.69,"Digital download of “Incantations"" by Hawk Eye The Rapper.",01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-03/Incantations.mp3,HAWK-SG-03,01_Singles,3,incantations,HAWK-ARS-01/_workspace/01_Singles/03_incantations/data/metadata.json
mind-kontrol,Mind Kontrol,HAWK-SG-04,0.69,Digital download of “Mind Control” by Hawk Eye The Rapper.,01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-04/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-04/MindControl.mp3,HAWK-SG-04,01_Singles,4,mind-kontrol,HAWK-ARS-01/_workspace/01_Singles/04_mind-kontrol/data/metadata.json
return-of-kings,Return Of Kings,HAWK-SG-05,0.69,Digital download of “Return Of Kings” by Hawk Eye The Rapper.,01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-05/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-05/return_of_kings.mp3,HAWK-SG-05,01_Singles,5,return-of-kings,HAWK-ARS-01/_workspace/01_Singles/05_return-of-kings/data/metadata.json
politicians,Politicians,HAWK-SG-06,0.69,"Digital download of “Politicians"" by Hawk Eye The Rapper.",01_Singles,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-SG-06/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-SG-06/politicians.mp3,HAWK-SG-06,01_Singles,6,politicians,HAWK-ARS-01/_workspace/01_Singles/06_politicians/data/metadata.json
the-vow,The Vow,HAWK-SG-07,0.69,Digital download of “The Vow” by Hawk Eye The Rapper.,01_Singles,https://assets.omniversalmedia.vip/src/images/HAWK-SG-07/album_art.png,https://assets.omniversalmedia.vip/src/audio/HAWK-SG-07/the_vow.mp3,HAWK-SG-07,01_Singles,7,the-vow,HAWK-ARS-01/_workspace/01_Singles/07_the-vow/data/metadata.json
swordfish,Swordfish,HAWK-FD-01,0.69,"Digital download of ""Swordfish"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-01/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-01/swordfish.mp3,HAWK-FD-01,01_Full_Disclosure,1,swordfish,HAWK-ARS-02/_workspace/01_Full_Disclosure/01_swordfish/data/metadata.json
mic-check,Mic Check,HAWK-FD-02,0.69,"Digital download of ""Mic Check"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-02/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-02/mic_check.mp3,HAWK-FD-02,01_Full_Disclosure,2,mic-check,HAWK-ARS-02/_workspace/01_Full_Disclosure/02_mic-check/data/metadata.json
shakur,Shakur,HAWK-FD-03,0.69,"Digital download of ""Shakur"" by Hawk Eye The Rapper.",01_Full_Disclosure,https://assets.omniversalmedia.shop/lyric-arsenal/images/covers/HAWK-FD-03/album_art.png,https://assets.omniversalmedia.shop/lyric-arsenal/audio/HAWK-FD-03/shakur.mp3,HAWK-FD-03,01_Full_Disclosure,3,shakur,HAWK-ARS-02/_workspace/01_Full_Disclosure/03_shakur/data/metadata.json
